#! FIELDS c file.free der_c
#! SET min_c 91.6706
#! SET max_c 1452.18
#! SET nbins_c  771
#! SET periodic_c false
   91.670600000   -0.000579134   -0.000409510
   93.437495325   -0.001897856   -0.001207855
   95.204390649   -0.005489262   -0.003105579
   96.971285974   -0.014080385   -0.006992791
   98.738181299   -0.031842426   -0.013601548
  100.505076623   -0.063737600   -0.022854631
  102.271971948   -0.113228579   -0.033046803
  104.038867273   -0.179235739   -0.040917950
  105.805762597   -0.254541006   -0.043239964
  107.572657922   -0.328561364   -0.039634739
  109.339553247   -0.393216160   -0.033572542
  111.106448571   -0.449406376   -0.031078655
  112.873343896   -0.508367110   -0.037171915
  114.640239221   -0.586972160   -0.053131455
  116.407134545   -0.700746006   -0.076580681
  118.174029870   -0.860649042   -0.104609498
  119.940925195   -1.072014269   -0.134868164
  121.707820519   -1.338944001   -0.167577421
  123.474715844   -1.667168314   -0.204647372
  125.241611169   -2.066490927   -0.248586882
  127.008506494   -2.551459931   -0.301296012
  128.775401818   -3.135569746   -0.360425871
  130.542297143   -3.826305125   -0.420420670
  132.309192468   -4.617614737   -0.473025077
  134.076087792   -5.490929440   -0.513036465
  135.842983117   -6.425076191   -0.542698264
  137.609878442   -7.408249067   -0.570731520
  139.376773766   -8.447015672   -0.606864701
  141.143669091   -9.560919775   -0.655157887
  142.910564416  -10.766164324   -0.708715882
  144.677459740  -12.060444801   -0.753123079
  146.444355065  -13.412667803   -0.771734127
  148.211250390  -14.765185499   -0.751831442
  149.978145714  -16.043812110   -0.688175775
  151.745041039  -17.176683275   -0.589141394
  153.511936364  -18.117708827   -0.475406585
  155.278831688  -18.863821102   -0.372955858
  157.045727013  -19.453679160   -0.300491920
  158.812622338  -19.945715084   -0.262303385
  160.579517662  -20.396776253   -0.251884804
  162.346412987  -20.847219512   -0.261000028
  164.113308312  -21.325698957   -0.282355249
  165.880203636  -21.846172151   -0.306377469
  167.647098961  -22.399678254   -0.317458411
  169.413994286  -22.951112092   -0.301155896
  171.180889610  -23.448349359   -0.259486799
  172.947784935  -23.864611976   -0.216016079
